1010::postcode::SE11RB,51.501054584x-0.0956229787909
1010::postcode::SY95HP,52.5527019x-2.9528339
1010::postcode::EH1 1EW,None
1010::postcode::SE166SD,None
1010::postcode::LL17 0RL,53.2564621x-3.4417696
1010::postcode::l5b4c8,43.577836x-79.638444
1010::postcode::EH14 4AP,55.9142124x-3.3163507
1010::postcode::EH14 4AS,55.9094034x-3.3206991
1010::postcode::L257TN,53.3717715883x-2.86642381822
1010::postcode::DL30HT,54.5481979567x-1.55417430746
1010::postcode::ba2 3rf,None
1010::postcode::NW6 1SD,51.5479956x-0.1905433
1010::postcode::EC1V 0BQ,51.524501x-0.1008297
1010::postcode::HP1 2PH,None
1010::postcode::EC1V 0DY,51.5231691x-0.1007698
1010::postcode::2025RC,None
1010::postcode::Balaclava,None
1010::postcode::EC1V 0HB,51.5277894x-0.1023219
1010::postcode::RH204HT,None
1010::postcode::2620-061OlivalBatos,None
1010::postcode::2450KøbenhavnSV,None
1010::postcode::sk41bs,None
1010::postcode::W1F9UD,51.5118716066x-0.135293944604
1010::postcode::3002AN,None
1010::postcode::EC1V 0NA,51.5232218x-0.1018055
1010::postcode::BD9$JP,None
1010::postcode::DY139BZ,52.3405469829x-2.27167009317
1010::postcode::RH16 4RR,50.9805721x-0.1207454
1010::postcode::LD23SZ,52.0714085564x-3.30435502104
1010::postcode::WC2R2NS,None
1010::postcode::GL537JT,51.8958866346x-2.07443196306
1010::postcode::st64at,None
1010::postcode::SG51DJ,51.9486386038x-0.275489691614
1010::postcode::LN11 7PN,None
1010::postcode::BarrioElSocorro,None
1010::postcode::HP1 3LA,51.7636332x-0.4929038
1010::postcode::CH63 3AQ,None
1010::postcode::HP225QS,None
1010::postcode::CR43SD,None
1010::postcode::BD19 3HA,53.7235729x-1.7208533
1010::postcode::9354AD,None
1010::postcode::cm11sy,51.7378371185x0.465596404712
1010::postcode::SL1 5BW,51.5174461x-0.63498
1010::postcode::SE24 0AD,51.4609359x-0.0960559
1010::postcode::sw98ur,51.4624587674x-0.107868859363
1010::postcode::BB90TL,None
1010::postcode::GL40DD,51.8283400748x-2.24482066925
1010::postcode::RG1 7AE,51.453506x-0.9769758
1010::postcode::EC1V 1LR,51.5312818x-0.1025227
1010::postcode::3003AA,None
1010::postcode::3660-059Carvalhais,None
1010::postcode::EC1V 1NQ,51.5322223x-0.1050789
1010::postcode::EC1A 2BP,51.5171372x-0.1053447
1010::postcode::SW1Y5ES,None
1010::postcode::LN11 8DH,53.3678842x0.0100159
1010::postcode::S252NZ,None
1010::postcode::g33 6gf,55.8873031x-4.1274109
1010::postcode::SE24 0LU,51.4562779286x-0.105461548036
1010::postcode::Harare,None
1010::postcode::HP226AH,None
1010::postcode::G741BA,55.7651898255x-4.18557030922
1010::postcode::NG11GP,52.9506650416x-1.13950889674
1010::postcode::CM8 3UN,51.8045684x0.6513211
1010::postcode::SW1Y5NQ,51.506305293x-0.134166677106
1010::postcode::G741DJ,55.7662732403x-4.19336265512
1010::postcode::SLM1604,None
1010::postcode::NW6 3LR,51.5456175x-0.1803979
1010::postcode::327265,None
1010::postcode::PH211NX,57.0719400508x-3.90793501797
1010::postcode::124001,None
1010::postcode::NG11PH,52.9525429666x-1.14436864495
1010::postcode::NG11PY,52.9515052481x-1.14382352042
1010::postcode::OL90BY,None
1010::postcode::EH1 3HP,55.9561418x-3.189784
1010::postcode::BR68ER,51.3655422957x0.06325290596
1010::postcode::B.Escalante.SanJosé,None
1010::postcode::M19 2QW,53.4392728x-2.1918948
1010::postcode::PE203EN,52.9456976617x-0.156070570451
1010::postcode::PL276HB,None
1010::postcode::sw99rj,51.4665233x-0.1218826
1010::postcode::OL90LS,None
1010::postcode::W14 9AT,51.4914856x-0.2127327
1010::postcode::G12 8LJ,55.8744598x-4.2853219
1010::postcode::SL1 6DQ,None
1010::postcode::BS397RL,51.3001423073x-2.49483166196
1010::postcode::S75 3ET,None
1010::postcode::LN117PN,53.4467733879x0.135914212594
1010::postcode::G12 8NA,55.8737006x-4.2840943
1010::postcode::NN15 6HE,52.3871406x-0.7163466
1010::postcode::W14 9EQ,51.4868568607x-0.212250712971
1010::postcode::RG1 8DN,None
1010::postcode::IP198BX,52.3461439899x1.50314787003
1010::postcode::WF2 0XG,None
1010::postcode::EC1V 2PT,51.5297368x-0.1015201
1010::postcode::CB214JB,52.0986271993x0.27194926892
1010::postcode::G12 8RZ,55.8744325x-4.2916189
1010::postcode::535Buea,None
1010::postcode::99645,None
1010::postcode::N212WW,None
1010::postcode::66238,None
1010::postcode::SW20 8AJ,51.4143934x-0.2245995
1010::postcode::BA201DH,50.9432434733x-2.63621364637
1010::postcode::G82 2BL,55.9499183168x-4.56302052503
1010::postcode::66271,None
1010::postcode::B91 9QS,None
1010::postcode::66290,None
1010::postcode::GL40rt,51.8287687647x-2.26280192266
1010::postcode::TD75AA,None
1010::postcode::9723ZSGroningen,None
1010::postcode::DT5 1BW,None
1010::postcode::CO11HF,None
1010::postcode::GL539QU,51.8494060671x-2.08424137296
1010::postcode::LN118DH,53.3678842x0.0100159
1010::postcode::B113EY,52.4503296609x-1.84482413876
1010::postcode::N16 6NR,51.56607x-0.0659405
1010::postcode::B113Ey,None
1010::postcode::TN218RJ,None
1010::postcode::ec4n7bl,None
1010::postcode::SW20 8RA,None
1010::postcode::N213HS,None
1010::postcode::5037AB,None
1010::postcode::5037AD,None
1010::postcode::BA201UN,50.9393652254x-2.63502210498
1010::postcode::BA201UR,50.93860945x-2.63674813239
1010::postcode::la62hj,None
1010::postcode::M7 3PN,53.5141765x-2.2734553
1010::postcode::LN118LD,53.3390141375x0.0597747744978
1010::postcode::EX311JU,None
1010::postcode::CO11SN,None
1010::postcode::CV364LJ,52.0905714355x-1.69560698629
1010::postcode::SA65EJ,51.6939970795x-3.89881231182
1010::postcode::N16 6XD,51.566612x-0.0699143
1010::postcode::CB215EE,52.1858349818x0.20074376526
1010::postcode::PL21 9LL,50.3858002x-3.9552169
1010::postcode::OX13 6NW,51.6687987x-1.3469953
1010::postcode::8000-334,None
1010::postcode::RG19 4LW,51.3985223x-1.2272721
1010::postcode::RG19 4NG,51.3907312x-1.2390015
1010::postcode::NG242JN,53.0769276224x-0.780164313146
1010::postcode::2551MT,None
1010::postcode::NG13AA,52.9545824217x-1.14295896209
1010::postcode::OX13 6SJ,51.6208594x-1.3283276
1010::postcode::BL00re,53.6673026878x-2.29960088849
1010::postcode::LA231AP,54.3832927x-2.9073218
1010::postcode::G12 9YB,55.8746797x-4.2952304
1010::postcode::B23 5XA,52.5311923x-1.8309336
1010::postcode::BA202HT,50.9354607375x-2.66757264795
1010::postcode::AB555HX,57.5134023054x-2.99171634727
1010::postcode::Potrero,None
1010::postcode::SO172NF,50.9257589422x-1.39306196268
1010::postcode::SO172NG,50.9267948925x-1.39168254651
1010::postcode::HX75SH,None
1010::postcode::LN119BX,53.3652819635x-0.000912811948758
1010::postcode::N16 7LT,51.5588903x-0.0717272
1010::postcode::o00 0oo,40.1170155x-81.5712319
1010::postcode::LA231LJ,None
1010::postcode::LA231LQ,None
1010::postcode::TN219QB,50.9264289084x0.305487584024
1010::postcode::BD19 6BW,53.7392631x-1.7313165
1010::postcode::ME16 0HR,51.2841424x0.4918824
1010::postcode::2552AV,None
1010::postcode::SG54NY,52.0158291774x-0.2201824599
1010::postcode::EX312HH,None
1010::postcode::B448NU,52.5460354957x-1.90302982389
1010::postcode::TA42LA,None
1010::postcode::CO12RA,None
1010::postcode::TA42PA,51.0426545111x-3.31150613246
1010::postcode::RG78NN,None
1010::postcode::BH8 8EJ,None
1010::postcode::EX67PR,None
1010::postcode::TA42RL,51.0526738241x-3.29281316694
1010::postcode::EX67ST,50.7025857169x-3.59177698429
1010::postcode::Bradford,None
1010::postcode::EC1V 4PY,51.527443x-0.0952332
1010::postcode::NG14BU,52.9563642746x-1.15200410349
1010::postcode::WV155HP,52.533926357x-2.37840250622
1010::postcode::bs28BB,None
1010::postcode::33000,None
1010::postcode::ca38au,54.892357716x-2.93691087135
1010::postcode::NG14FQ,52.9577577297x-1.15075617301
1010::postcode::5038TC,None
1010::postcode::80333München,None
1010::postcode::NG14NE,None
1010::postcode::TA43AX,None
1010::postcode::E123SP,None
1010::postcode::PO16 9BD,50.8426072x-1.1267977
1010::postcode::BN71ET,50.8705320232x-0.00491864909835
1010::postcode::SO239LJ,51.0610727074x-1.31132772974
1010::postcode::NW6 6RG,None
1010::postcode::1831AA,None
1010::postcode::AL5 2ES,51.818928x-0.3640485
1010::postcode::EH496QT,55.9753347049x-3.57449258804
1010::postcode::NG13 0AX,None
1010::postcode::DE451AD,None
1010::postcode::07675,None
1010::postcode::DE451AE,53.2215616164x-1.6725435095
1010::postcode::Co Cavan,53.9942097x-7.3608957
1010::postcode::EH91NX,None
1010::postcode::EH91QS,None
1010::postcode::RG19 6HW,51.3736269x-1.2799716
1010::postcode::NR5 0ES,None
1010::postcode::NG244EN,53.059373831x-0.806161473162
1010::postcode::HA09LF,None
1010::postcode::cm2 0jq,51.7248229x0.4664803
1010::postcode::OX49 5LU,51.64629x-1.0139789
1010::postcode::M239HX,None
1010::postcode::SP78HQ,51.0018762238x-2.2023040862
1010::postcode::W1U1ED,51.514481972x-0.150219505046
1010::postcode::WA52EY,None
1010::postcode::SY18 6AD,52.4487611x-3.5414088
1010::postcode::NW6 7BA,51.5432213199x-0.21106648385
1010::postcode::W1U1HL,51.5158766354x-0.149701792446
1010::postcode::NW6 7BQ,51.5405572x-0.2186412
1010::postcode::BN71XN,50.8722015097x0.00785953045621
1010::postcode::SY18 6BU,52.4482937x-3.5386408
1010::postcode::BN71YJ,50.8734845046x0.00960612652674
1010::postcode::EN80JU,51.711835589x-0.0263334162887
1010::postcode::GL208DW,None
1010::postcode::N16 9AE,51.5577681x-0.0872252
1010::postcode::PO20OQH,None
1010::postcode::SY18 6FE,52.4488942x-3.5332465
1010::postcode::33133,None
1010::postcode::33138,None
1010::postcode::EH497EZ,55.976434125x-3.60075577966
1010::postcode::9100-186,None
1010::postcode::33140,None
1010::postcode::ng10 4wt,52.9035787x-1.2909028
1010::postcode::SY18 6HD,52.4521128x-3.5394803
1010::postcode::KT9 1JE,51.3653665x-0.2967282
1010::postcode::33150,None
1010::postcode::WF10 3FH,53.7168981x-1.3196381
1010::postcode::NG15JD,52.9577845569x-1.15705256006
1010::postcode::SA15 5HU,51.7782657x-4.1683201
1010::postcode::GL208JG,51.9990986443x-2.13681422008
1010::postcode::33180,None
1010::postcode::W41Bb,None
1010::postcode::SM44SJ,51.390947275x-0.217285196613
1010::postcode::IG3 8EU,51.5652994x0.0921809
1010::postcode::BN72AN,50.8741589271x0.0179504103817
1010::postcode::GL142PQ,51.8247381879x-2.5098041872
1010::postcode::TR140HX,None
1010::postcode::G82 5JN,None
1010::postcode::BN72DD,50.8731061902x0.0106843175953
1010::postcode::BN72DS,None
1010::postcode::W41HT,51.4983686586x-0.255943899408
1010::postcode::TA44EG,51.1461581113x-3.26923276617
1010::postcode::07731,None
1010::postcode::IP21 4JP,None
1010::postcode::TR140NB,None
1010::postcode::BD213AD,None
1010::postcode::GL208SD,None
1010::postcode::NW6 7TA,51.5410072x-0.2021552
1010::postcode::G745PH,None
1010::postcode::BN72LN,50.873757943x0.0135693850305
1010::postcode::NW6 7YD,51.5419479x-0.2095738
1010::postcode::2553ek,None
1010::postcode::BB95RX,None
1010::postcode::W41QP,51.4934466x-0.255123364103
1010::postcode::75008Paris,None
1010::postcode::e9 5rb,51.5466381x-0.0367653
1010::postcode::BN72PE,50.8781428319x0.010147696187
1010::postcode::GU67SS,None
1010::postcode::CW71JL,53.1806849545x-2.53234300894
1010::postcode::BN72QS,50.8737054428x0.0103547579775
1010::postcode::WA53AA,53.4009934798x-2.66151926433
1010::postcode::TA44QA,None
1010::postcode::G1K3P4,None
1010::postcode::SM45DX,None
1010::postcode::92083,None
1010::postcode::BN72SU,None
1010::postcode::HX78BU,53.7419913296x-2.00904453215
1010::postcode::HX78DG,None
1010::postcode::SM45JS,None
1010::postcode::33200,None
1010::postcode::33202,None
1010::postcode::33204,None
1010::postcode::SP79NT,51.0260043908x-2.21622597121
1010::postcode::IP122QG,None
1010::postcode::TS197AB,None
1010::postcode::GU7 1EZ,51.185630274x-0.618690140701
1010::postcode::NG16GN,52.951744247x-1.15587504285
1010::postcode::ec4n 7bl,51.5122836x-0.0877619
1010::postcode::33250,None
1010::postcode::33260,None
1010::postcode::BS2 0HQ,None
1010::postcode::NG16LP,None
1010::postcode::KT9 2NY,51.3535357x-0.3106238
1010::postcode::WS98SP,52.6060490119x-1.92433842111
1010::postcode::3531BR,None
1010::postcode::GU7 1LQ,51.1856861x-0.6052528
1010::postcode::85180leChateaud'Olonne,None
1010::postcode::sr5 9gu,None
1010::postcode::EH93ES,55.9259586185x-3.18442604691
1010::postcode::BBG's,None
1010::postcode::83400Communed'Hyères,None
1010::postcode::hx2 6as,None
1010::postcode::TS14 6BU,54.537447x-1.0481912
1010::postcode::07844,None
1010::postcode::BN73HF,50.8383363108x0.0159359613285
1010::postcode::GU7 1RS,51.1767889x-0.616308
1010::postcode::CW72AP,53.1926288865x-2.5227473256
1010::postcode::DL37LU,54.5248952883x-1.5567456134
1010::postcode::92100,None
1010::postcode::N99TT,51.6223961644x-0.0750309600224
1010::postcode::W42NL,51.4916008592x-0.245326401375
1010::postcode::92110,None
1010::postcode::92117,None
1010::postcode::BN73LG,50.8582088822x-0.0254228322241
1010::postcode::gl525jd,None
1010::postcode::TW182LN,51.4205536377x-0.509909822752
1010::postcode::92130,None
1010::postcode::92140,None
1010::postcode::WF10 4WL,53.7164426x-1.3903175
1010::postcode::W42RG,51.4822308652x-0.256185162991
1010::postcode::92150,None
1010::postcode::BN73PE,50.850807127x-0.013233279658
1010::postcode::DL37RL,None
1010::postcode::2555HA,None
1010::postcode::BD214JH,53.8690078169x-1.89411930386
1010::postcode::BN73QL,50.9052180463x-0.0312858507757
1010::postcode::W42UG,51.4822008039x-0.251750480219
1010::postcode::DT94HU,50.9533190933x-2.51704820838
1010::postcode::SM46DU,51.3915739644x-0.18024869792
1010::postcode::NE214AG,54.9646251966x-1.71461933736
1010::postcode::GL46HE,51.8376123857x-2.21597428309
1010::postcode::EC1V 7QE,None
1010::postcode::7328BX,None
1010::postcode::33320,None
1010::postcode::GU7 2DX,None
1010::postcode::SK12 2AG,53.3573016x-2.0382136
1010::postcode::HP20 1UY,None
1010::postcode::HP20 1UZ,None
1010::postcode::3572020,None
1010::postcode::3531ag,None
1010::postcode::NE214NE,54.9695926247x-1.73357865336
1010::postcode::Ne4 7SA,54.9664269x-1.6271074
1010::postcode::SG127BT,51.8114232882x-0.0272804964556
1010::postcode::TN157PH,51.3372096783x0.306443164424
1010::postcode::NE214PY,54.9631885548x-1.71511366886
1010::postcode::WF2 6EQ,53.660990052x-1.4828824723
1010::postcode::07900,None
1010::postcode::OL96AA,None
1010::postcode::ln9 5dh,None
1010::postcode::NE214TE,None
1010::postcode::GU7 2RH,51.2068488x-0.6406885
1010::postcode::07940,None
1010::postcode::OL96DY,None
1010::postcode::BB97LG,53.8369712825x-2.21551691289
1010::postcode::KA278AZ,None
1010::postcode::sk7 5sa,53.3786885x-2.1414593
1010::postcode::1500AH,None
1010::postcode::92200,None
1010::postcode::92213,None
1010::postcode::HR11UU,None
1010::postcode::DL38PQ,None
1010::postcode::92253,None
1010::postcode::CV35 8AN,52.2508168x-1.6182687
1010::postcode::92270,None
1010::postcode::KA278LR,55.533675689x-5.12915246075
1010::postcode::OX73LN,51.8980483517x-1.52564947476
1010::postcode::b61 7dh,52.3322724x-2.0666973
1010::postcode::E78LZ,51.5409575615x0.0353988615745
1010::postcode::KA278NG,55.5303850968x-5.13337661661
1010::postcode::YO12 6NS,54.2856063x-0.4297202
1010::postcode::BB97YT,53.8442141871x-2.22119280951
1010::postcode::CB74DB,52.3959204386x0.260380661769
1010::postcode::OX73PX,51.872722023x-1.48526016094
1010::postcode::EC1A 9EE,51.5183726276x-0.102179609073
1010::postcode::DT95NR,50.945251268x-2.50510162072
1010::postcode::BS22 7UD,None
1010::postcode::E78QJ,None
1010::postcode::33401,None
1010::postcode::OX73RR,None
1010::postcode::EH166AE,None
1010::postcode::IEIE,-13.916667x39.566667
1010::postcode::PO211QH,50.785339662x-0.67660949662
1010::postcode::00000,None
1010::postcode::OX73TS,51.8736554121x-1.47672310737
1010::postcode::SE3 7UD,51.4786317x0.0070309
1010::postcode::00010,None
1010::postcode::BT38 9RX,None
1010::postcode::33450,None
1010::postcode::3994ATHouten,None
1010::postcode::BS324HJ,51.5590627882x-2.56328591911
1010::postcode::EC1A 9LF,51.5182709x-0.1026023
1010::postcode::TN158LU,51.2884380367x0.312861746408
1010::postcode::W1U4QW,None
1010::postcode::3533AE,None
1010::postcode::3532br,None
1010::postcode::00084,None
1010::postcode::SO21 2PJ,51.0991822x-1.3961222
1010::postcode::HR12NG,52.0536133846x-2.71494535904
1010::postcode::SY245HZ,52.4888981614x-4.05104986312
1010::postcode::HR12QH,None
1010::postcode::CW74BD,53.1907461476x-2.52366731112
1010::postcode::G414NW,None
1010::postcode::EC1V 9EL,51.5273659x-0.0911811
1010::postcode::92310,None
1010::postcode::92320,None
1010::postcode::LU31RJ,None
1010::postcode::SE3 8EY,51.4698007x0.0225137
1010::postcode::G414QP,55.8383843628x-4.27518714378
1010::postcode::1033-2350,None
1010::postcode::TS12XF,None
1010::postcode::L0S1J0,None
1010::postcode::E79HD,None
1010::postcode::W1U5BA,None
1010::postcode::WR3 7SD,52.2369332013x-2.22977083177
1010::postcode::L121LH,None
1010::postcode::sm4 5bl,51.4018366x-0.1961308
1010::postcode::92392,None
1010::postcode::OL97RG,None
1010::postcode::CB75BT,None
1010::postcode::E79PR,51.5401812604x0.0230920528107
1010::postcode::TS13AA,54.5727090778x-1.23644555901
1010::postcode::EC1V 9RU,None
1010::postcode::NG182RL,53.1410626626x-1.18855653463
1010::postcode::W1U5JW,51.5212486965x-0.152208409681
1010::postcode::00100,None
1010::postcode::00101,None
1010::postcode::5232BC,None
1010::postcode::CB24 9PT,52.2452092x0.1055773
1010::postcode::KirkullenLodge,None
1010::postcode::WD232AF,None
1010::postcode::W45EZ,51.4990504964x-0.268581926728
1010::postcode::NE216PH,54.9508525222x-1.73186013521
1010::postcode::PA29 6TE,55.8620813x-5.4142318
1010::postcode::PA29 6UT,55.5675603x-5.6964596
1010::postcode::BS22 9BQ,51.3577829x-2.9358558
1010::postcode::L122AP,None
1010::postcode::OX281DX,None
1010::postcode::Yo265SQ,53.9638806472x-1.11989566557
1010::postcode::WR3 8JQ,52.2006961x-2.2133132
1010::postcode::W45LT,None
1010::postcode::92400,None
1010::postcode::B46AF,52.4822730631x-1.89596923843
1010::postcode::m158hp,None
1010::postcode::BB99PA,53.8368165863x-2.19567033714
1010::postcode::TN25 5ED,51.1836978x0.9328556
1010::postcode::G415PX,None
1010::postcode::4610-108Felgueiras,None
1010::postcode::92442,None
1010::postcode::v3r4g5,None
1010::postcode::EH421bu,None
1010::postcode::SG129QL,None
1010::postcode::G31 3AU,None
1010::postcode::1182AL,None
1010::postcode::BH88EJ,50.7233074438x-1.86549183582
1010::postcode::27000,None
1010::postcode::W45YA,None
1010::postcode::WD232TY,51.658491852x-0.369036810232
1010::postcode::NR31AB,52.6327030171x1.29420236528
1010::postcode::W1K 5DA,51.5134328179x-0.149267572226
1010::postcode::br67er,51.3587849747x0.0837768554827
1010::postcode::SY26FD,52.7061558887x-2.73982010994
1010::postcode::WC1V6NA,None
1010::postcode::SE24 9JH,51.4564105x-0.0892918
1010::postcode::B46NR,52.4866688585x-1.89563491516
1010::postcode::33602,None
1010::postcode::33610,None
1010::postcode::ST10 8HU,52.986684x-1.9458742
1010::postcode::SE24 9LG,51.4547713x-0.0913466
1010::postcode::33624,None
1010::postcode::33625,28.0684157x-82.5564559
1010::postcode::00200,None
1010::postcode::wv11 1hp,52.6056207x-2.094298
1010::postcode::33635,None
1010::postcode::LA23 1LJ,54.4019306x-2.9416234
1010::postcode::SE24 9NY,51.4559395x-0.0946085
1010::postcode::LA23 1LQ,54.3991146x-2.9396951
1010::postcode::ML66QT,55.87664583x-3.97427053691
1010::postcode::00220,None
1010::postcode::00221,None
1010::postcode::2224RZ,None
1010::postcode::00226,None
1010::postcode::00228,None
1010::postcode::00229,None
1010::postcode::00233,None
1010::postcode::00235,None
1010::postcode::00241,None
1010::postcode::00243,None
1010::postcode::PL75EH,50.46020313x-4.04090587056
1010::postcode::00263,None
1010::postcode::WA1 2NH,None
1010::postcode::CF141UJ,None
1010::postcode::NR31QA,52.6344953764x1.29022763097
1010::postcode::HU130RU,53.7236942926x-0.437696155233
1010::postcode::GR16561,37.8853947x23.7781575
1010::postcode::4350-026Porto,None
1010::postcode::8900000,None
1010::postcode::HR14PT,52.0007927162x-2.58813136879
1010::postcode::GU27 3PN,51.0942205053x-0.737173040449
1010::postcode::KT91JE,None
1010::postcode::SS164NL,None
1010::postcode::92507,33.9734553x-117.3263893
1010::postcode::PR1 0SR,53.7474169x-2.7296382
1010::postcode::3201LE,None
1010::postcode::WC1V7DA,51.5174866992x-0.119757585122
1010::postcode::Ex39 4BB,51.0150752x-4.2007799
1010::postcode::4191PC,None
1010::postcode::92700Colombes,None
1010::postcode::B47ET,52.486637676x-1.89095201729
1010::postcode::CF142AD,None
1010::postcode::4100-131Porto,None
1010::postcode::N18 3HU,None
1010::postcode::92590,None
1010::postcode::EH33 2EQ,55.9433554x-2.9520597
1010::postcode::RH149RY,51.0167576912x-0.454270438382
1010::postcode::RH149SJ,51.0143090674x-0.447295007641
1010::postcode::59524HazebrouckCedex,None
1010::postcode::CA101NN,54.7189836498x-2.67464276083
1010::postcode::BL09PZ,None
1010::postcode::Gu12 6QH,51.239406x-0.7283176
1010::postcode::7854TR,None
1010::postcode::TN25 6SX,None
1010::postcode::33739,None
1010::postcode::PL206AH,50.4902412414x-4.0856663014
1010::postcode::LU34BJ,None
1010::postcode::GL10 2AD,None
1010::postcode::BB21LH,53.748073845x-2.48946656963
1010::postcode::OX76YA,None
1010::postcode::Santiago/Metroplitana,None
1010::postcode::B47XG,None
1010::postcode::CH48 4EQ,53.3729811758x-3.17939234406
1010::postcode::N156EB,None
1010::postcode::GL10 2HA,None
1010::postcode::N156HD,51.5756534953x-0.0838328549637
1010::postcode::86000,None
1010::postcode::7521AG,None
1010::postcode::CV37 0JG,52.2348389x-1.6914152
1010::postcode::CV37 0JL,None
1010::postcode::92600,None
1010::postcode::SL85BW,51.5807667261x-0.705491664575
1010::postcode::92637,33.6108676x-117.7285406
1010::postcode::KT92NY,None
1010::postcode::92656,None
1010::postcode::W1U8AN,51.5186671808x-0.156737908235
1010::postcode::SS39QE,None
1010::postcode::CV37 0UX,52.2133478x-1.6699469
1010::postcode::27209,None
1010::postcode::ka15qz,55.5505765397x-4.56167173336
1010::postcode::CM202NR,None
1010::postcode::SK116QZ,53.2571476482x-2.13095433079
1010::postcode::33800,None
1010::postcode::6211HT,None
1010::postcode::WA160LX,53.3069361932x-2.37891881067
1010::postcode::SK116UJ,53.2550491274x-2.12646623456
1010::postcode::w1d 7az,None
1010::postcode::RH18 5DX,51.0941044x0.0354081
1010::postcode::G84 0RJ,56.0110017x-4.8036272
1010::postcode::PA46 7RF,55.8400452x-6.1281713
1010::postcode::LL552HP,53.1359690267x-4.26961769914
1010::postcode::BH204PG,50.687004532x-2.1167042882
1010::postcode::CF143NR,None
1010::postcode::B311LD,None
1010::postcode::SanJose,None
1010::postcode::SE5 0HF,51.4805956x-0.0939555
1010::postcode::PR1 2HE,53.7613383x-2.7073841
1010::postcode::B42 1QX,52.5308285x-1.9216959
1010::postcode::YO607RZ,54.0332744875x-0.943230324558
1010::postcode::KT108AP,51.376856755x-0.369855329064
1010::postcode::G67 2UH,55.9459585x-3.9748979
1010::postcode::OX15 4QG,52.0159473x-1.3792
1010::postcode::TR50SS,50.3173922x-5.2106078
1010::postcode::CF143XG,51.4987004512x-3.19190234215
1010::postcode::KT108DJ,51.3845926934x-0.361647585673
1010::postcode::LL552SS,53.1308793084x-4.24024391031
1010::postcode::ky49sn,56.1163499128x-3.35481810517
1010::postcode::LL298HU,None
1010::postcode::PL207NL,50.4972067613x-4.13306972065
1010::postcode::OX284GE,None
"1010::postcode::SanJose,CostaRica",None
1010::postcode::CM203BW,51.7740853578x0.11853809154
1010::postcode::NG13 8EH,52.9525964x-0.9362058
1010::postcode::SE5 0UB,51.4780343x-0.0995923
1010::postcode::GL10 3PN,51.728909x-2.2725741
1010::postcode::SK117HG,None
1010::postcode::OX284LH,51.7787285909x-1.48298151072
1010::postcode::GL10 3SX,51.7505732x-2.3001841
1010::postcode::92782,None
1010::postcode::hx75qn,53.7326236525x-1.97530026438
1010::postcode::RM112SP,51.5849193637x0.220070125482
1010::postcode::PE38 9LL,52.6043834x0.3886472
1010::postcode::EH16 6AE,55.9182998x-3.1676791
1010::postcode::BT68DD,54.5949365748x-5.90634893209
1010::postcode::SK117QX,53.249292989x-2.12100899353
1010::postcode::ML69LZ,55.8648202457x-3.96746969013
1010::postcode::LE1 3WA,None
1010::postcode::BT68HQ,54.5889140616x-5.90361008679
1010::postcode::00505,None
1010::postcode::M436AB,53.4751155055x-2.15131743305
1010::postcode::00520,None
1010::postcode::OX15 5HP,52.0502357x-1.5440625
1010::postcode::00530,None
1010::postcode::LA7 7PQ,54.2129743x-2.77398
1010::postcode::SK117YT,None
1010::postcode::M436GD,53.4805248382x-2.15953383158
1010::postcode::EX18 7DL,50.9143519x-3.8749611
1010::postcode::SA34 0BE,51.8240274803x-4.61762687364
1010::postcode::B312TS,52.3970384385x-1.98617050625
1010::postcode::92110Clichy,None
1010::postcode::OX15 5RG,None
1010::postcode::HP18 OSP,51.8812409x-1.0115359
1010::postcode::WV14 0UJ,52.5632196x-2.0895157
1010::postcode::SW152EA,51.4605976199x-0.207461288835
1010::postcode::NR231AT,52.9583604695x0.850480271683
1010::postcode::SA34 0HZ,51.8211746x-4.5986387
1010::postcode::92800,None
1010::postcode::92811,None
1010::postcode::2496Hb,None
1010::postcode::SO437DE,None
1010::postcode::ky4 9sn,56.1163486x-3.3548176
1010::postcode::KT109LY,51.3582457388x-0.370745866953
1010::postcode::WC1N 2EB,51.5222599517x-0.115164427384
1010::postcode::SW152NQ,51.4630586357x-0.209034805401
1010::postcode::SO437GJ,None
1010::postcode::BN1 1EE,None
1010::postcode::DN33DB,53.5325150968x-1.05324559834
1010::postcode::L394TF,53.5586873358x-2.9024101935
1010::postcode::BN1 1HG,50.8210008x-0.1397098
1010::postcode::BN1 1HQ,50.8203979348x-0.139094392966
1010::postcode::CT45LA,None
1010::postcode::BH140LS,50.7247094892x-1.96188083234
1010::postcode::Trujillo/Cartavio,None
1010::postcode::BH206LN,50.6976760334x-2.24988181994
1010::postcode::TW110BN,51.4226358765x-0.330787726935
1010::postcode::CT45SJ,51.1978503921x1.01475463444
1010::postcode::BS2 8EA,None
1010::postcode::notavaliable,None
1010::postcode::LE60HT,52.6447586245x-1.23471952321
1010::postcode::SG2 0LT,51.9079664x-0.1688423
1010::postcode::BN1 1RD,50.8236824x-0.1403699
1010::postcode::BN1 1RH,50.8231669x-0.1424492
1010::postcode::EH21JX,55.9545027691x-3.19956787637
1010::postcode::LE60JL,52.6433402329x-1.23922238179
1010::postcode::BN1 1SX,None
1010::postcode::BS2 8HW,None
1010::postcode::00659,None
1010::postcode::WF84BG,53.6865068846x-1.33186276581
1010::postcode::PL143JE,None
1010::postcode::BN1 1UB,50.8243435792x-0.137247873381
1010::postcode::WD171DS,51.6629733439x-0.397374793991
1010::postcode::WD171DU,None
1010::postcode::eastsussex,None
